id,unit_id,order_index,title,objetivo,default_lessons
1,1,1,Gêneros textuais (noções),"Compreender, analisar e aplicar os conceitos relacionados a gêneros textuais (noções), desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
2,1,2,Estratégias de leitura,"Compreender, analisar e aplicar os conceitos relacionados a estratégias de leitura, desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
3,1,3,Coesão e coerência,"Compreender, analisar e aplicar os conceitos relacionados a coesão e coerência, desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
4,1,4,Intertextualidade (noções),"Compreender, analisar e aplicar os conceitos relacionados a intertextualidade (noções), desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
5,1,5,Inferência e intenção comunicativa,"Compreender, analisar e aplicar os conceitos relacionados a inferência e intenção comunicativa, desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
6,2,1,Classes de palavras (revisão),"Compreender, analisar e aplicar os conceitos relacionados a classes de palavras (revisão), desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
7,2,2,Sintaxe: termos essenciais,"Compreender, analisar e aplicar os conceitos relacionados a sintaxe: termos essenciais, desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
8,2,3,Concordância (noções),"Compreender, analisar e aplicar os conceitos relacionados a concordância (noções), desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
9,2,4,Regência e crase (noções),"Compreender, analisar e aplicar os conceitos relacionados a regência e crase (noções), desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
10,2,5,Pontuação,"Compreender, analisar e aplicar os conceitos relacionados a pontuação, desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
11,3,1,Resumo e resenha,"Compreender, analisar e aplicar os conceitos relacionados a resumo e resenha, desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
12,3,2,Artigo de opinião,"Compreender, analisar e aplicar os conceitos relacionados a artigo de opinião, desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
13,3,3,Relato e crônica,"Compreender, analisar e aplicar os conceitos relacionados a relato e crônica, desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
14,3,4,Projeto de texto e reescrita,"Compreender, analisar e aplicar os conceitos relacionados a projeto de texto e reescrita, desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
15,3,5,Norma padrão (revisão),"Compreender, analisar e aplicar os conceitos relacionados a norma padrão (revisão), desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
16,4,1,Variação linguística,"Compreender, analisar e aplicar os conceitos relacionados a variação linguística, desenvolvendo interpretação, pensamento crítico e capacidade de aplicação em diferentes contextos de aprendizagem.",1
