id,unit_id,order_index,title,default_lessons
1,1,1,Gêneros textuais (noções),1
2,1,2,Estratégias de leitura,1
3,1,3,Coesão e coerência,1
4,1,4,Intertextualidade (noções),1
5,1,5,Inferência e intenção comunicativa,1
6,2,1,Classes de palavras (revisão),1
7,2,2,Sintaxe: termos essenciais,1
8,2,3,Concordância (noções),1
9,2,4,Regência e crase (noções),1
10,2,5,Pontuação,1
11,3,1,Resumo e resenha,1
12,3,2,Artigo de opinião,1
13,3,3,Relato e crônica,1
14,3,4,Projeto de texto e reescrita,1
15,3,5,Norma padrão (revisão),1
16,4,1,Variação linguística,1
17,4,2,Preconceito linguístico,1
18,4,3,Semântica (noções),1
19,4,4,Figuras de linguagem (noções),1
20,5,1,Leitura de textos multimodais,1
21,5,2,Interpretação de gráficos e charges,1
22,5,3,Questões de gramática contextualizada,1
23,5,4,Simulados e análise de erros,1
24,6,1,O que é literatura?,1
25,6,2,Trovadorismo (noções),1
26,6,3,Humanismo (noções),1
27,6,4,Classicismo (noções),1
28,6,5,Barroco (noções),1
29,7,1,Arcadismo,1
30,7,2,Romantismo,1
31,7,3,Realismo/Naturalismo,1
32,7,4,Parnasianismo/Simbolismo,1
33,8,1,Pré-Modernismo,1
34,8,2,"Modernismo (1ª,2ª,3ª fases)",1
35,8,3,Literatura contemporânea (noções),1
36,8,4,Literatura e sociedade (leituras),1
37,9,1,Competências da redação (ENEM),1
38,9,2,Estrutura dissertativo-argumentativa,1
39,9,3,"Tese, argumentos e conclusão",1
40,9,4,Coesão e repertório,1
41,10,1,Repertório sociocultural,1
42,10,2,Estratégias argumentativas,1
43,10,3,Proposta de intervenção,1
44,10,4,Revisão e reescrita,1
45,11,1,Temas semanais,1
46,11,2,Correção por critérios,1
47,11,3,Banco de conectivos,1
48,11,4,Simulados e gestão de tempo,1
49,12,1,Skimming e scanning,1
50,12,2,Cognatos e falsos cognatos,1
51,12,3,Context clues,1
52,12,4,"Gêneros (anúncio, notícia, e-mail)",1
53,13,1,Simple past/present review (uso em leitura),1
54,13,2,Modal verbs (noções),1
55,13,3,Pronomes e conectores,1
56,13,4,Temas culturais e mídia,1
57,14,1,Interpretação de textos,1
58,14,2,Vocabulário por temas,1
59,14,3,Estratégias de prova,1
60,14,4,Projetos (podcast/apresentação),1
61,15,1,"Elementos visuais (linha, cor, forma)",1
62,15,2,História da arte (panorama),1
63,15,3,Leitura de imagem,1
64,15,4,Produção artística,1
65,16,1,Elementos musicais (noções),1
66,16,2,Ritmo e composição (prática),1
67,16,3,Teatro: corpo e cena,1
68,16,4,Produções coletivas,1
69,17,1,Cinema: linguagem audiovisual,1
70,17,2,Fotografia e composição,1
71,17,3,Arte e identidade,1
72,17,4,Projeto final (mostra cultural),1
73,18,1,Capacidades físicas,1
74,18,2,Treinamento básico (noções),1
75,18,3,Esportes coletivos (fundamentos),1
76,18,4,Hábitos saudáveis,1
77,19,1,Danças e manifestações culturais,1
